trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,18,-33.94784779881798,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-54.0413972003405,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-100.99814025098247,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-96.29927535155637,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-116.32320873369021,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-74.02381842391378,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-200.8141848585689,"{0: 20, 1: 6, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-66.65890931090897,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-23.039572447707613,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,12,-13.704756061471116,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-95.99504642600195,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-124.6277804471483,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-170.35579816549284,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-109.56239705390897,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-89.23845977508736,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-243.14910635150548,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-99.89301948750972,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-147.7570908051149,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-47.87603693993344,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-123.93349184883543,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,5,-96.6149881467397,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,-127.20141179671506,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-78.43562431285412,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,0,-122.25485566122174,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,8,-49.610852673559734,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-172.9953174731221,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-83.39178933276176,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-104.44278658237243,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,0,-188.5237584861251,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,0,-120.59882705997329,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
