trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,7,-82.68186158671807,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",25,15,10.881670367929932,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",35,2,-54.835839604387544,"{0: 26, 1: 3, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-94.21252426475688,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",20,0,-25.839755401811182,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,11,-58.70701155014943,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-113.59362782937863,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",30,19,-21.535373742082133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",20,0,-17.02130092134809,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",35,0,-35.9787942051043,"{0: 29, 1: 4, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-32.336863952873536,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",35,21,-27.53627206268497,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,0,18.02057045753156,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-70.60227142263531,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,19,12.231809849721884,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",25,0,-10.973253317871652,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,7.668617021190494,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,12,14.423714443333763,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",20,0,18.909028040085467,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,2,14.993916000924633,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",25,0,-103.29437366656539,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050786}",20,8,19.98125726771672,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.4833047587530059}",30,0,29.15514641220148,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8438539587324921}",20,6,15.970556485406567,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.9977982791785807}",35,0,-39.95331617329513,"{0: 31, 1: 0, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,0,12.33011567029454,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.594920663309892}",25,0,-24.46839534002506,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,0,21.94110993962384,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.354924266788705}",20,0,-69.09841055363403,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7596879128588212}",20,14,6.636741922109914,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9784534628188842}",30,4,10.724822336238987,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9576594803233847}",25,0,-13.552320940914015,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7023970575027135}",30,0,40.32644358927192,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.27516333805159693}",20,0,-42.599432753627724,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.21943996321145934}",30,0,43.619309579879214,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6603167082440802}",30,8,-53.13072201105455,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.939524893748256}",20,14,-7.8078688514941,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
