trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-88.26234695238017,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-86.26621593014963,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.95}",30,0,-223.57441374290735,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.95}",25,0,2.5702941802789576,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-61.79356350686067,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.95}",25,0,-78.03406229368004,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.95}",25,0,-86.26047573062198,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.95}",25,0,-141.13416400655709,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.95}",30,0,-90.35075687884267,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-153.42603047349616,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.95}",30,0,-66.73540972701167,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.95}",20,0,-81.28567870821823,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.95}",20,0,-112.3520221040135,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.95}",30,1,-194.9872413674094,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.95}",30,0,-113.36461489409787,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.95}",20,0,-131.08715288942068,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.95}",25,0,-80.69692159261001,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.9986190768285,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.95}",20,0,-43.580672695979146,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.95}",25,0,-163.77934591701072,"{0: 7, 1: 5, 2: 11, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0.95}",20,0,-57.395337022145426,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0.95}",20,0,-166.19190331988142,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 0.95}",20,0,-36.90700027782591,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0.95}",20,0,-110.40965816673894,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0.95}",20,3,-179.29471225931763,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 4}",1
6,True,"{'a': 0.5, 'e': 0.95}",30,0,-204.18535011810158,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 0.95}",20,4,-12.685325351498939,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0.95}",20,0,-75.27880369292558,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0.95}",20,0,-108.37665964644599,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 0.95}",20,0,-118.0489376953799,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
